order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,one_year_target_price,half_year_target_price,one_year_recommendation,half_year_recommendation
600171.XSHG,2017-08-09,民生证券,,,2,1,2024-06-20 17:41:16,2017-08-09 16:45:14,2.0,,,,
600171.XSHG,2017-08-15,民生证券,14.1750,Y01,2,1,2024-06-20 04:58:08,2017-08-15 21:30:16,2.0,14.175,,,
600171.XSHG,2017-09-20,民生证券,,,2,1,2024-06-20 17:39:46,2017-09-21 12:11:15,2.0,,,,
600171.XSHG,2017-10-09,民生证券,15.5250,Y01,2,1,2024-06-20 04:58:09,2017-10-12 17:08:41,2.0,15.525,,,
600171.XSHG,2017-11-02,民生证券,,,2,1,2024-06-20 17:41:24,2017-11-02 14:06:06,2.0,,,,
600171.XSHG,2017-11-14,民生证券,15.7250,Y01,2,1,2024-06-20 04:58:34,2017-11-15 10:39:12,2.0,15.725,,,
600171.XSHG,2021-04-18,国投证券,,,1,1,2024-06-20 17:39:20,2021-04-19 13:46:11,1.0,,,,
600171.XSHG,2021-07-09,开源证券,,,1,1,2024-06-20 17:39:26,2021-07-09 09:21:31,1.0,,,,
600171.XSHG,2021-07-09,国投证券,48.2000,M06,1,1,2024-06-20 04:58:11,2021-07-09 13:03:17,1.0,,48.2,,
600171.XSHG,2021-07-10,方正证券,,,2,1,2024-06-20 17:42:59,2021-07-11 18:07:27,2.0,,,,
600171.XSHG,2021-08-01,国金证券,44.8000,M06,1,1,2024-06-20 04:58:03,2021-08-02 15:13:42,1.0,,44.8,,
600171.XSHG,2021-08-28,开源证券,,,1,1,2024-06-20 17:40:41,2021-08-29 17:08:25,1.0,,,,
600171.XSHG,2021-08-28,方正证券,,,2,1,2024-06-20 17:41:25,2021-08-29 16:35:20,2.0,,,,
600171.XSHG,2021-08-28,国投证券,48.2000,M06,1,1,2024-06-20 04:58:27,2021-08-31 10:38:39,1.0,,48.2,,
600171.XSHG,2021-08-29,国金证券,,,1,1,2024-06-20 17:41:23,2021-08-30 17:17:40,1.0,,,,
600171.XSHG,2021-09-16,国投证券,48.2000,M06,1,1,2024-06-20 04:58:22,2021-09-17 10:23:14,1.0,,48.2,,
600171.XSHG,2021-09-30,国投证券,48.2000,,1,1,2024-06-20 04:58:29,2021-10-07 14:23:15,1.0,,,,
600171.XSHG,2021-10-23,开源证券,,,1,1,2024-06-20 17:42:08,2021-10-24 10:41:58,1.0,,,,
600171.XSHG,2021-10-24,方正证券,,,2,1,2024-06-20 17:40:37,2021-10-25 13:43:54,2.0,,,,
600171.XSHG,2021-10-24,国投证券,48.2000,,1,1,2024-06-20 04:58:28,2021-10-25 10:59:57,1.0,,,,
600171.XSHG,2021-10-25,国投证券,48.2000,M06,1,1,2024-06-20 04:58:27,2021-10-25 14:15:43,1.0,,48.2,,
600171.XSHG,2021-10-31,国投证券,48.2000,,1,1,2024-06-20 04:58:09,2021-11-02 16:11:08,1.0,,,,
600171.XSHG,2021-11-20,开源证券,,,1,1,2024-06-20 17:42:58,2021-11-21 12:53:01,1.0,,,,
600171.XSHG,2022-01-07,南京证券,,,2,1,2024-06-20 17:42:27,2023-02-07 16:43:56,2.0,,,,
600171.XSHG,2022-03-28,国投证券,32.6000,M06,1,1,2024-06-20 04:58:40,2022-03-29 11:08:21,1.0,,32.6,,
600171.XSHG,2022-03-30,开源证券,,,1,1,2024-06-20 17:43:02,2022-03-30 14:02:52,1.0,,,,
600171.XSHG,2022-03-31,华鑫证券,,,1,1,2024-06-20 17:40:11,2022-03-31 11:13:58,1.0,,,,
600171.XSHG,2022-04-01,首创证券,,,1,1,2024-06-20 17:39:55,2022-04-05 09:44:51,1.0,,,,
600171.XSHG,2022-04-23,国投证券,32.6000,M06,1,1,2024-06-20 04:58:00,2022-04-24 10:59:44,1.0,,32.6,,
600171.XSHG,2022-04-24,华鑫证券,,,1,1,2024-06-20 17:41:44,2022-04-25 14:06:51,1.0,,,,
600171.XSHG,2022-04-24,开源证券,,,1,1,2024-06-20 17:42:54,2022-04-24 15:57:42,1.0,,,,
600171.XSHG,2022-05-11,华鑫证券,,,1,1,2024-06-20 17:41:16,2022-05-12 10:06:23,1.0,,,,
600171.XSHG,2022-08-11,华鑫证券,,,1,1,2024-06-20 17:40:12,2022-08-12 15:35:10,1.0,,,,
600171.XSHG,2022-08-22,申万宏源,30.8400,M06,2,1,2024-06-20 04:58:25,2022-08-23 18:41:28,2.0,,30.84,,
600171.XSHG,2022-08-23,开源证券,,,1,1,2024-06-20 17:40:10,2022-08-24 09:25:40,1.0,,,,
600171.XSHG,2022-08-24,华鑫证券,,,1,1,2024-06-20 17:41:16,2022-08-25 11:06:26,1.0,,,,
600171.XSHG,2022-08-28,申万宏源,,,2,1,2024-06-20 17:40:12,2022-09-27 10:49:12,2.0,,,,
600171.XSHG,2022-09-17,申万宏源,,,2,1,2024-06-20 17:41:50,2022-09-19 14:10:18,2.0,,,,
600171.XSHG,2022-09-23,华鑫证券,,,1,1,2024-06-20 17:41:16,2022-09-23 17:41:46,1.0,,,,
600171.XSHG,2022-09-30,华鑫证券,,,1,1,2024-06-20 17:40:29,2022-10-09 10:16:41,1.0,,,,
600171.XSHG,2022-10-26,开源证券,,,1,1,2024-06-20 17:41:54,2022-10-26 16:01:25,1.0,,,,
600171.XSHG,2022-11-21,华鑫证券,,,1,1,2024-06-20 17:40:37,2022-11-20 16:16:15,1.0,,,,
600171.XSHG,2022-12-20,申万宏源,,,2,1,2024-06-20 17:42:38,2022-12-21 15:49:23,2.0,,,,
600171.XSHG,2022-12-31,华鑫证券,,,1,1,2024-06-20 17:39:46,2023-01-02 13:03:53,1.0,,,,
600171.XSHG,2023-02-22,华鑫证券,,,1,1,2024-06-20 17:41:45,2023-02-22 16:22:34,1.0,,,,
600171.XSHG,2023-03-28,开源证券,,,1,1,2024-06-20 17:40:45,2023-03-29 15:11:59,1.0,,,,
600171.XSHG,2023-04-03,申万宏源,,,2,1,2024-06-20 17:41:27,2023-04-04 14:43:47,2.0,,,,
600171.XSHG,2023-04-09,国投证券,27.1000,M06,1,1,2024-06-20 04:58:01,2023-04-10 09:02:45,1.0,,27.1,,
600171.XSHG,2023-04-16,申万宏源,,,2,1,2024-06-20 17:41:59,2023-04-17 16:07:14,2.0,,,,
600171.XSHG,2023-04-26,长城证券,,,2,1,2024-06-20 17:41:31,2023-05-05 10:24:33,2.0,,,,
600171.XSHG,2023-05-08,开源证券,,,1,1,2024-06-20 17:39:30,2023-05-09 13:58:36,1.0,,,,
600171.XSHG,2023-11-12,华鑫证券,,,1,1,2024-06-20 17:40:37,2023-11-13 15:58:20,1.0,,,,
600171.XSHG,2023-12-09,申万宏源,,,2,1,2024-06-20 17:41:11,2023-12-10 11:36:49,2.0,,,,
600171.XSHG,2023-12-17,申万宏源,,,2,1,2024-06-20 17:42:59,2023-12-18 13:33:26,2.0,,,,
600171.XSHG,2024-08-21,申万宏源,,,2,1,2024-08-22 13:22:16,2024-08-22 11:01:58,2.0,,,,
