order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,half_year_recommendation,one_year_target_price,one_year_recommendation
000050.XSHE,2013-11-12,国金证券,16.3700,M06,1,1,2013-11-14 17:56:40,2013-11-14 17:56:40,1.0,16.37,,,
000050.XSHE,2013-11-12,天相投顾,,,2,1,2013-11-14 17:56:40,2013-11-14 17:56:40,2.0,,,,
000050.XSHE,2013-12-07,平安证券,,,2,1,2013-12-07 11:02:26,2013-12-07 11:02:26,2.0,,,,
000050.XSHE,2013-12-16,财通证券,16.5000,M06,1,2,2013-12-20 16:47:42,2013-12-20 16:47:42,,16.5,1.0,,
000050.XSHE,2014-03-04,财通证券,16.5000,M06,1,1,2014-03-06 11:48:15,2014-03-06 11:48:15,1.0,16.5,,,
000050.XSHE,2014-06-25,东兴证券,,,2,1,2014-07-22 15:38:22,2014-07-22 15:38:22,2.0,,,,
000050.XSHE,2014-07-29,宏源证券,,,1,1,2014-07-30 15:15:22,2014-07-30 15:15:22,1.0,,,,
000050.XSHE,2014-08-13,宏源证券,,,1,1,2014-08-14 09:53:45,2014-08-14 09:53:45,1.0,,,,
000050.XSHE,2014-08-14,国新证券,,,2,1,2014-08-15 21:31:20,2014-08-15 21:31:20,2.0,,,,
000050.XSHE,2014-09-28,宏源证券,,,2,1,2014-09-30 09:53:17,2014-09-30 09:53:17,2.0,,,,
000050.XSHE,2014-10-22,宏源证券,,,2,1,2014-10-23 11:48:30,2014-10-23 11:48:30,2.0,,,,
000050.XSHE,2014-12-30,东北证券,,,2,1,2014-12-30 16:01:48,2014-12-30 16:01:48,2.0,,,,
000050.XSHE,2015-01-26,方正证券,,,2,1,2015-01-29 09:30:39,2015-01-29 09:30:39,2.0,,,,
000050.XSHE,2015-01-28,宏源证券,,,1,1,2015-01-29 14:54:08,2015-01-29 14:54:08,1.0,,,,
000050.XSHE,2015-01-29,东北证券,,,2,1,2015-01-29 14:29:24,2015-01-29 14:29:24,2.0,,,,
000050.XSHE,2015-02-05,宏源证券,,,1,1,2015-02-06 15:15:47,2015-02-06 15:15:47,1.0,,,,
