order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,one_year_target_price,quarter_recommendation,half_year_target_price,one_year_recommendation,half_year_recommendation
000021.XSHE,2006-08-29,凯基证券,10.0000,Y01,2,1,2024-06-27 06:17:37,2006-08-30 16:10:32,10.0,2.0,,,
000021.XSHE,2006-09-18,国信证券,,,2,1,2024-06-27 17:27:40,2006-09-18 18:10:46,,2.0,,,
000021.XSHE,2006-10-24,中金公司,,,3,1,2024-06-27 17:24:36,2006-10-24 16:10:49,,3.0,,,
000021.XSHE,2006-10-27,中金公司,,,3,1,2024-06-27 17:28:23,2006-10-31 15:40:49,,3.0,,,
000021.XSHE,2006-11-23,海通证券,10.5000,M06,2,1,2024-06-27 06:17:59,2006-11-24 10:40:47,,2.0,10.5,,
000021.XSHE,2006-11-27,海通证券,,,2,1,2024-06-27 17:27:17,2006-11-27 17:40:20,,2.0,,,
000021.XSHE,2006-11-29,海通证券,,,1,1,2024-06-27 17:27:55,2006-11-30 14:10:38,,1.0,,,
000021.XSHE,2006-12-07,凯基证券,9.5000,Y01,2,1,2024-06-27 06:16:53,2006-12-07 14:10:15,9.5,2.0,,,
000021.XSHE,2006-12-25,凯基证券,,,2,1,2024-06-27 17:26:15,2007-01-05 14:40:45,,2.0,,,
000021.XSHE,2007-01-03,招商证券,,,2,1,2024-06-27 17:24:34,2007-01-06 11:40:29,,2.0,,,
000021.XSHE,2007-01-07,申万宏源,,,3,1,2024-06-27 17:25:50,2007-01-09 15:10:30,,3.0,,,
000021.XSHE,2007-01-15,凯基证券,,,2,1,2024-06-27 17:26:30,2007-01-22 18:11:19,,2.0,,,
000021.XSHE,2007-01-29,国信证券,,,3,1,2024-06-27 17:27:37,2007-01-29 14:40:33,,3.0,,,
000021.XSHE,2007-02-02,国泰海通证券,16.1600,M06,1,1,2024-06-27 06:17:34,2007-02-06 14:40:28,,1.0,16.16,,
000021.XSHE,2007-02-14,国金证券,14.3850,M06,2,1,2024-06-27 06:17:50,2007-02-14 18:27:12,,2.0,14.385,,
000021.XSHE,2007-03-05,南京证券,,,2,1,2024-06-27 17:29:04,2007-03-06 13:56:44,,2.0,,,
000021.XSHE,2007-04-23,中金公司,,,3,1,2024-06-27 17:29:40,2007-04-23 17:40:37,,3.0,,,
000021.XSHE,2007-04-24,华泰证券,,,2,1,2024-06-27 17:26:34,2007-04-25 14:40:58,,2.0,,,
000021.XSHE,2007-04-27,中金公司,,,3,1,2024-06-27 17:24:29,2007-04-27 15:26:23,,3.0,,,
000021.XSHE,2007-06-20,华泰证券,,,2,1,2024-06-27 17:28:56,2007-06-26 09:40:48,,2.0,,,
000021.XSHE,2007-07-04,凯基证券,,,2,1,2024-06-27 17:26:09,2007-07-04 16:40:46,,2.0,,,
000021.XSHE,2007-07-11,东方证券,,,2,1,2024-06-27 17:28:47,2007-07-11 16:26:04,,2.0,,,
000021.XSHE,2007-08-22,中金公司,,,3,1,2024-06-27 17:25:05,2007-08-22 16:56:09,,3.0,,,
000021.XSHE,2007-08-22,华泰证券,,,3,1,2024-06-27 17:26:06,2007-08-22 15:42:02,,3.0,,,
000021.XSHE,2007-08-31,国信证券,18.0000,M06,3,1,2024-06-27 06:17:21,2007-08-31 15:56:05,,3.0,18.0,,
000021.XSHE,2007-09-14,国金证券,21.4500,M06,2,1,2024-06-27 06:17:43,2007-09-17 17:26:13,,2.0,21.45,,
000021.XSHE,2007-09-17,中原证券,,,3,3,2024-06-27 17:25:12,2007-09-18 11:11:14,,3.0,,3.0,
000021.XSHE,2007-09-20,华泰证券,,,2,1,2024-06-27 17:26:35,2007-09-21 11:25:41,,2.0,,,
000021.XSHE,2007-09-26,国金证券,21.4500,M06,2,1,2024-06-27 06:18:12,2007-09-26 16:56:01,,2.0,21.45,,
000021.XSHE,2007-09-27,海通证券,21.1200,M06,2,1,2024-06-27 06:17:49,2007-09-28 14:25:43,,2.0,21.12,,
000021.XSHE,2007-09-27,华泰证券,20.2500,M06,2,1,2024-06-27 06:18:01,2007-09-27 17:56:24,,2.0,20.25,,
000021.XSHE,2007-10-13,国金证券,24.8950,M06,2,1,2024-06-27 06:17:44,2007-10-15 17:42:40,,2.0,24.895,,
000021.XSHE,2007-10-17,华泰证券,27.7500,M06,1,1,2024-06-27 06:17:31,2007-10-18 17:12:31,,1.0,27.75,,
000021.XSHE,2007-10-24,国金证券,,,2,1,2024-06-27 17:24:35,2007-10-25 17:56:50,,2.0,,,
000021.XSHE,2007-10-25,华泰证券,,,1,1,2024-06-27 17:26:23,2007-10-25 17:56:50,,1.0,,,
000021.XSHE,2007-10-30,国金证券,,,2,1,2024-06-27 17:27:12,2007-10-31 18:41:14,,2.0,,,
000021.XSHE,2007-10-31,华泰证券,,,1,1,2024-06-27 17:24:54,2007-10-31 18:41:14,,1.0,,,
000021.XSHE,2007-10-31,中金公司,,,3,1,2024-06-27 17:28:15,2007-10-31 18:41:14,,3.0,,,
000021.XSHE,2007-11-06,财信证券,17.5000,M06,2,1,2024-06-27 06:17:09,2007-11-12 16:27:33,,2.0,17.5,,
000021.XSHE,2007-11-13,天相投顾,,,3,1,2024-06-27 17:29:17,2007-11-14 16:55:49,,3.0,,,
000021.XSHE,2007-11-14,招商证券,,,2,1,2024-06-27 17:24:46,2007-11-15 14:40:53,,2.0,,,
000021.XSHE,2007-12-12,国金证券,23.0000,M06,2,1,2024-06-27 06:17:25,2007-12-13 16:41:50,,2.0,23.0,,
000021.XSHE,2007-12-13,海通证券,,,2,1,2024-06-27 17:25:56,2007-12-13 17:26:42,,2.0,,,
000021.XSHE,2007-12-18,华泰证券,,,1,1,2024-06-27 17:27:12,2007-12-19 16:12:20,,1.0,,,
000021.XSHE,2007-12-18,天相投顾,,,2,1,2024-06-27 17:28:48,2007-12-19 16:12:20,,2.0,,,
000021.XSHE,2007-12-24,国泰海通证券,,,2,1,2024-06-27 17:25:03,2007-12-24 17:56:42,,2.0,,,
000021.XSHE,2008-01-18,中金财富,24.0000,M06,2,1,2024-06-27 06:18:21,2008-01-19 09:42:04,,2.0,24.0,,
000021.XSHE,2008-03-11,招商证券,,,3,1,2024-06-27 17:28:26,2008-03-13 17:55:58,,3.0,,,
000021.XSHE,2008-03-20,华泰证券,,,2,1,2024-06-27 17:26:20,2008-03-26 17:40:53,,2.0,,,
000021.XSHE,2008-04-08,国金证券,,,2,1,2024-06-27 17:29:09,2008-04-15 17:55:37,,2.0,,,
000021.XSHE,2008-04-10,天相投顾,,,2,1,2024-06-27 17:24:48,2008-04-10 18:40:29,,2.0,,,
000021.XSHE,2008-04-18,国泰海通证券,,,2,1,2024-06-27 17:24:59,2008-04-18 17:40:41,,2.0,,,
000021.XSHE,2008-04-21,天相投顾,,,2,1,2024-06-27 17:25:18,2008-04-22 17:55:23,,2.0,,,
000021.XSHE,2008-04-21,中金公司,,,3,1,2024-06-27 17:28:41,2008-04-21 18:10:34,,3.0,,,
000021.XSHE,2008-04-28,国金证券,,,3,1,2024-06-27 17:29:17,2008-04-29 09:55:24,,3.0,,,
000021.XSHE,2008-04-29,中金公司,,,3,1,2024-06-27 17:26:20,2008-04-30 12:10:26,,3.0,,,
000021.XSHE,2008-04-30,招商证券,,,3,1,2024-06-27 17:25:26,2008-05-09 16:55:22,,3.0,,,
000021.XSHE,2008-05-19,国泰海通证券,,,2,1,2024-06-27 17:27:57,2008-05-19 17:40:30,,2.0,,,
000021.XSHE,2008-06-06,招商证券,,,3,1,2024-06-27 17:28:02,2008-06-11 17:55:46,,3.0,,,
000021.XSHE,2008-06-15,国信证券,,,3,1,2024-06-27 17:25:57,2008-06-30 08:56:02,,3.0,,,
000021.XSHE,2008-06-18,华泰证券,,,2,1,2024-06-27 17:29:03,2008-06-24 17:25:51,,2.0,,,
000021.XSHE,2008-06-20,国金证券,,,3,1,2024-06-27 17:25:46,2008-07-14 17:55:31,,3.0,,,
000021.XSHE,2008-06-23,国泰海通证券,,,3,1,2024-06-27 17:25:42,2008-06-30 10:40:57,,3.0,,,
000021.XSHE,2008-06-30,申万宏源,,,3,1,2024-06-27 17:26:08,2008-07-01 17:40:57,,3.0,,,
000021.XSHE,2008-07-09,招商证券,,,3,1,2024-06-27 17:29:13,2008-07-11 19:10:26,,3.0,,,
000021.XSHE,2008-07-14,申万宏源,,,3,1,2024-06-27 17:26:54,2008-07-14 17:55:31,,3.0,,,
000021.XSHE,2008-07-16,国泰海通证券,,,3,1,2024-06-27 17:26:22,2008-07-16 15:40:30,,3.0,,,
000021.XSHE,2008-08-05,申万宏源,,,3,1,2024-06-27 17:29:41,2008-08-06 16:56:31,,3.0,,,
000021.XSHE,2008-08-13,国泰海通证券,,,3,1,2024-06-27 17:24:29,2008-08-14 17:25:36,,3.0,,,
000021.XSHE,2008-08-27,中金公司,,,3,1,2024-06-27 17:25:50,2008-08-27 16:41:05,,3.0,,,
000021.XSHE,2008-08-27,天相投顾,,,3,1,2024-06-27 17:25:52,2008-08-27 15:10:55,,3.0,,,
000021.XSHE,2008-09-03,海通证券,6.3000,M06,2,1,2024-06-27 06:16:57,2008-09-04 17:17:01,,2.0,6.3,,
000021.XSHE,2008-09-05,天相投顾,,,3,1,2024-06-27 17:27:57,2008-09-05 17:33:18,,3.0,,,
000021.XSHE,2008-09-18,华泰证券,,,2,1,2024-06-27 17:26:03,2008-09-23 17:02:38,,2.0,,,
000021.XSHE,2008-09-25,天相投顾,,,3,1,2024-06-27 17:26:56,2008-09-25 17:01:52,,3.0,,,
000021.XSHE,2008-10-06,天相投顾,,,3,1,2024-06-27 17:28:35,2008-10-07 11:31:46,,3.0,,,
000021.XSHE,2008-10-14,申万宏源,,,3,1,2024-06-27 17:27:42,2008-10-14 16:47:20,,3.0,,,
000021.XSHE,2008-10-27,中金公司,,,3,1,2024-06-27 17:26:35,2008-10-27 16:46:42,,3.0,,,
000021.XSHE,2008-10-28,中金公司,,,3,1,2024-06-27 17:25:22,2008-10-28 20:04:42,,3.0,,,
000021.XSHE,2008-10-29,中金公司,,,3,1,2024-06-27 17:26:37,2008-11-13 16:47:37,,3.0,,,
000021.XSHE,2008-10-30,招商证券,,,3,1,2024-06-27 17:28:45,2008-10-31 17:48:00,,3.0,,,
000021.XSHE,2008-10-31,中金公司,,,3,1,2024-06-27 17:26:33,2008-10-31 17:48:00,,3.0,,,
000021.XSHE,2008-10-31,天相投顾,,,3,1,2024-06-27 17:26:34,2008-10-31 18:17:31,,3.0,,,
000021.XSHE,2008-11-03,天相投顾,,,3,1,2024-06-27 17:26:29,2008-11-04 14:32:07,,3.0,,,
000021.XSHE,2008-11-25,招商证券,,,3,1,2024-06-27 17:27:56,2008-11-26 16:47:42,,3.0,,,
000021.XSHE,2008-11-27,中金公司,,,3,1,2024-06-27 17:26:14,2008-11-27 17:48:11,,3.0,,,
000021.XSHE,2008-12-04,中金公司,,,3,1,2024-06-27 17:28:10,2008-12-04 17:31:57,,3.0,,,
000021.XSHE,2008-12-08,申万宏源,,,3,1,2024-06-27 17:28:17,2008-12-09 17:17:42,,3.0,,,
000021.XSHE,2008-12-11,中金公司,,,3,1,2024-06-27 17:29:08,2008-12-11 17:17:21,,3.0,,,
000021.XSHE,2008-12-16,天相投顾,,,3,1,2024-06-27 17:25:26,2008-12-17 15:47:40,,3.0,,,
000021.XSHE,2008-12-19,招商证券,,,3,1,2024-06-27 17:28:44,2008-12-19 13:47:34,,3.0,,,
000021.XSHE,2008-12-26,招商证券,,,3,1,2024-06-27 17:24:35,2008-12-30 16:33:26,,3.0,,,
000021.XSHE,2008-12-29,申万宏源,,,3,1,2024-06-27 17:27:49,2008-12-29 14:03:40,,3.0,,,
000021.XSHE,2008-12-31,华泰证券,,,2,1,2024-06-27 17:27:28,2009-01-07 14:18:05,,2.0,,,
000021.XSHE,2009-01-05,中金公司,,,3,1,2024-06-27 17:24:41,2009-01-05 15:17:38,,3.0,,,
000021.XSHE,2009-01-15,中金公司,,,3,1,2024-06-27 17:27:54,2009-01-15 15:32:39,,3.0,,,
000021.XSHE,2009-02-02,招商证券,,,3,1,2024-06-27 17:24:46,2009-02-03 10:47:37,,3.0,,,
000021.XSHE,2009-02-09,中金公司,,,3,1,2024-06-27 17:24:57,2009-02-10 16:46:46,,3.0,,,
000021.XSHE,2009-02-10,申万宏源,,,3,1,2024-06-27 17:25:08,2009-02-10 16:46:46,,3.0,,,
000021.XSHE,2009-02-17,招商证券,,,3,1,2024-06-27 17:29:06,2009-02-18 16:46:54,,3.0,,,
000021.XSHE,2009-02-23,中金公司,,,3,1,2024-06-27 17:28:33,2009-02-24 15:48:08,,3.0,,,
000021.XSHE,2009-03-02,招商证券,,,3,1,2024-06-27 17:25:05,2009-03-03 19:16:45,,3.0,,,
000021.XSHE,2009-03-02,中金公司,,,3,1,2024-06-27 17:27:35,2009-03-02 18:32:47,,3.0,,,
000021.XSHE,2009-03-09,中金公司,,,3,1,2024-06-27 17:29:06,2009-03-09 16:33:28,,3.0,,,
000021.XSHE,2009-03-16,招商证券,,,3,1,2024-06-27 17:25:21,2009-03-17 17:18:12,,3.0,,,
000021.XSHE,2009-03-19,华泰证券,,,2,1,2024-06-27 17:29:26,2009-03-19 15:16:38,,2.0,,,
000021.XSHE,2009-03-25,中金公司,,,3,1,2024-06-27 17:25:11,2009-03-26 16:48:37,,3.0,,,
000021.XSHE,2009-03-31,招商证券,,,3,1,2024-06-27 17:25:03,2009-04-02 17:47:40,,3.0,,,
000021.XSHE,2009-03-31,申万宏源,,,3,1,2024-06-27 17:29:34,2009-04-02 18:32:12,,3.0,,,
000021.XSHE,2009-04-10,中金财富,,,2,1,2024-06-27 17:24:42,2009-04-14 17:04:00,,2.0,,,
000021.XSHE,2009-04-15,中金公司,,,3,1,2024-06-27 17:29:45,2009-04-15 15:33:13,,3.0,,,
000021.XSHE,2009-04-20,中金公司,,,3,1,2024-06-27 17:27:38,2009-04-20 17:18:54,,3.0,,,
000021.XSHE,2009-04-23,天相投顾,,,3,1,2024-06-27 17:24:50,2009-04-24 19:02:24,,3.0,,,
000021.XSHE,2009-04-23,申万宏源,,,3,1,2024-06-27 17:26:09,2009-04-24 18:17:40,,3.0,,,
000021.XSHE,2009-04-23,中金公司,,,3,1,2024-06-27 17:26:26,2009-04-23 17:48:05,,3.0,,,
000021.XSHE,2009-04-23,华泰证券,10.5000,M06,2,1,2024-06-27 06:17:35,2009-04-24 16:34:18,,2.0,10.5,,
000021.XSHE,2009-04-24,中金公司,,,3,1,2024-06-27 17:27:07,2009-04-24 18:02:58,,3.0,,,
000021.XSHE,2009-04-27,中金公司,,,3,1,2024-06-27 17:27:59,2009-04-30 17:33:33,,3.0,,,
000021.XSHE,2009-05-04,申万宏源,,,3,1,2024-06-27 17:26:28,2009-05-05 16:19:52,,3.0,,,
000021.XSHE,2009-05-18,招商证券,,,3,1,2024-06-27 17:25:29,2009-05-19 16:49:35,,3.0,,,
000021.XSHE,2009-05-22,长江证券,,,1,1,2024-06-27 17:28:51,2009-05-22 17:19:28,,1.0,,,
000021.XSHE,2009-05-25,平安证券,,,2,1,2024-06-27 17:24:28,2009-05-26 16:18:55,,2.0,,,
000021.XSHE,2009-05-31,浙商证券,,,2,1,2024-06-27 17:28:29,2009-06-04 16:22:02,,2.0,,,
000021.XSHE,2009-06-01,申万宏源,,,2,1,2024-06-27 17:28:20,2009-06-01 16:37:45,,2.0,,,
000021.XSHE,2009-06-02,招商证券,,,2,1,2024-06-27 17:25:19,2009-06-03 16:09:49,,2.0,,,
000021.XSHE,2009-06-05,浙商证券,,,2,1,2024-06-27 17:26:33,2009-07-18 11:50:50,,2.0,,,
000021.XSHE,2009-06-09,中信证券,13.0000,M06,2,1,2024-06-27 06:17:35,2009-06-09 16:49:47,,2.0,13.0,,
000021.XSHE,2009-06-11,中信证券,,,2,1,2024-06-27 17:25:09,2009-06-11 17:33:40,,2.0,,,
000021.XSHE,2009-06-15,招商证券,,,1,1,2024-06-27 17:25:22,2009-06-27 09:50:47,,1.0,,,
000021.XSHE,2009-06-16,中信证券,,,2,1,2024-06-27 17:25:45,2009-06-17 13:19:06,,2.0,,,
000021.XSHE,2009-06-18,国泰海通证券,,,2,1,2024-06-27 17:26:48,2009-06-27 10:18:46,,2.0,,,
000021.XSHE,2009-06-18,中信证券,13.0000,M06,2,1,2024-06-27 06:17:33,2009-06-18 17:47:51,,2.0,13.0,,
000021.XSHE,2009-06-19,招商证券,,,1,1,2024-06-27 17:25:53,2009-06-19 16:36:25,,1.0,,,
000021.XSHE,2009-06-24,长江证券,,,1,1,2024-06-27 17:24:54,2009-06-24 16:59:44,,1.0,,,
000021.XSHE,2009-06-26,长城证券,,,3,1,2024-06-27 17:25:40,2009-07-01 08:49:58,,3.0,,,
000021.XSHE,2009-06-26,申万宏源,,,2,1,2024-06-27 17:25:43,2009-06-26 17:07:11,,2.0,,,
000021.XSHE,2009-06-29,东海证券,,,2,1,2024-06-27 17:27:17,2009-06-29 18:04:37,,2.0,,,
000021.XSHE,2009-06-30,华泰证券,,,2,1,2024-06-27 17:27:39,2009-07-01 18:32:46,,2.0,,,
000021.XSHE,2009-06-30,中信证券,,,2,1,2024-06-27 17:29:21,2009-07-01 17:08:06,,2.0,,,
000021.XSHE,2009-07-01,国泰海通证券,,,2,1,2024-06-27 17:26:48,2009-07-01 18:32:46,,2.0,,,
000021.XSHE,2009-07-11,万联证券,,,2,1,2024-06-27 17:26:04,2009-07-18 13:33:24,,2.0,,,
000021.XSHE,2009-07-13,中信证券,18.0000,M06,1,1,2024-06-27 06:17:32,2009-07-13 14:34:30,,1.0,18.0,,
000021.XSHE,2009-07-15,长江证券,,,1,1,2024-06-27 17:24:32,2009-07-15 16:37:27,,1.0,,,
000021.XSHE,2009-07-20,中信证券,,,1,1,2024-06-27 17:25:30,2009-07-20 15:20:16,,1.0,,,
000021.XSHE,2009-07-20,招商证券,,,1,1,2024-06-27 17:29:47,2009-07-22 15:37:45,,1.0,,,
000021.XSHE,2009-07-23,长江证券,,,1,1,2024-06-27 17:25:48,2009-07-23 17:06:31,,1.0,,,
000021.XSHE,2009-07-23,中金公司,,,3,1,2024-06-27 17:27:17,2009-07-23 16:19:30,,3.0,,,
000021.XSHE,2009-07-23,中信证券,18.0000,M06,1,1,2024-06-27 06:18:19,2009-07-23 15:09:43,,1.0,18.0,,
000021.XSHE,2009-07-27,中信证券,,,1,1,2024-06-27 17:26:02,2009-07-28 16:11:25,,1.0,,,
000021.XSHE,2009-07-31,申万宏源,,,2,1,2024-06-27 17:29:04,2009-07-31 14:07:38,,2.0,,,
000021.XSHE,2009-08-03,中信证券,18.0000,M06,1,1,2024-06-27 06:17:32,2009-08-04 15:08:10,,1.0,18.0,,
000021.XSHE,2009-08-04,中信证券,18.0000,M06,1,1,2024-06-27 06:18:13,2009-08-04 18:04:09,,1.0,18.0,,
000021.XSHE,2009-08-06,申万宏源,,,2,1,2024-06-27 17:27:09,2009-08-06 15:37:35,,2.0,,,
000021.XSHE,2009-08-11,中信证券,,,1,1,2024-06-27 17:24:36,2009-08-14 10:22:10,,1.0,,,
000021.XSHE,2009-08-11,申万宏源,,,2,1,2024-06-27 17:27:09,2009-08-11 14:20:16,,2.0,,,
000021.XSHE,2009-08-25,中信证券,,,1,1,2024-06-27 17:24:44,2009-08-26 12:49:41,,1.0,,,
000021.XSHE,2009-08-28,天相投顾,,,2,1,2024-06-27 17:24:59,2009-08-28 16:23:25,,2.0,,,
000021.XSHE,2009-08-28,中信证券,16.0000,M06,1,1,2024-06-27 06:17:30,2009-08-28 17:09:10,,1.0,16.0,,
000021.XSHE,2009-08-28,长江证券,,,1,1,2024-06-27 17:26:50,2009-08-28 14:24:29,,1.0,,,
000021.XSHE,2009-08-28,平安证券,,,2,1,2024-06-27 17:28:04,2009-08-31 17:09:07,,2.0,,,
000021.XSHE,2009-08-31,申万宏源,,,2,1,2024-06-27 17:25:13,2009-08-31 12:35:12,,2.0,,,
000021.XSHE,2009-09-01,国泰海通证券,12.0000,M06,2,1,2024-06-27 06:17:32,2009-09-01 18:49:03,,2.0,12.0,,
000021.XSHE,2009-09-04,东海证券,,,2,1,2024-06-27 17:26:56,2009-09-11 13:20:36,,2.0,,,
000021.XSHE,2009-09-07,中信证券,16.0000,M06,1,1,2024-06-27 06:18:22,2009-09-07 16:07:57,,1.0,16.0,,
000021.XSHE,2009-09-08,中信证券,,,1,1,2024-06-27 17:29:10,2009-09-09 13:09:47,,1.0,,,
000021.XSHE,2009-09-14,平安证券,,,2,1,2024-06-27 17:27:24,2009-09-16 13:51:30,,2.0,,,
000021.XSHE,2009-09-30,国泰海通证券,,,1,1,2024-06-27 17:26:35,2009-09-30 15:36:52,,1.0,,,
000021.XSHE,2009-09-30,华泰证券,,,2,1,2024-06-27 17:28:20,2009-10-09 14:08:44,,2.0,,,
000021.XSHE,2009-10-14,招商证券,,,1,1,2024-06-27 17:26:47,2009-10-15 15:52:02,,1.0,,,
000021.XSHE,2009-10-16,中信证券,16.0000,M06,1,1,2024-06-27 06:17:28,2009-10-17 09:07:28,,1.0,16.0,,
000021.XSHE,2009-10-31,长江证券,,,1,1,2024-06-27 17:28:19,2009-11-04 18:52:36,,1.0,,,
000021.XSHE,2009-11-02,中信证券,15.0000,M06,1,1,2024-06-27 06:16:56,2009-11-04 13:52:59,,1.0,15.0,,
000021.XSHE,2009-11-02,天相投顾,,,2,1,2024-06-27 17:28:34,2009-11-05 17:52:43,,2.0,,,
000021.XSHE,2009-11-11,华泰证券,,,2,1,2024-06-27 17:24:32,2009-11-17 11:37:45,,2.0,,,
000021.XSHE,2009-11-25,平安证券,,,2,1,2024-06-27 17:25:33,2009-12-04 14:37:54,,2.0,,,
000021.XSHE,2009-11-25,中信证券,,,1,1,2024-06-27 17:29:06,2009-11-25 17:37:50,,1.0,,,
000021.XSHE,2009-11-30,平安证券,,,2,1,2024-06-27 17:27:48,2009-12-08 11:07:52,,2.0,,,
000021.XSHE,2009-12-01,国泰海通证券,,,1,1,2024-06-27 17:27:00,2009-12-02 15:07:57,,1.0,,,
000021.XSHE,2009-12-08,招商证券,,,1,1,2024-06-27 17:29:13,2009-12-09 13:37:50,,1.0,,,
000021.XSHE,2009-12-09,国信证券,,,3,1,2024-06-27 17:25:09,2009-12-10 14:38:02,,3.0,,,
000021.XSHE,2009-12-09,中信证券,,,1,1,2024-06-27 17:25:34,2009-12-09 16:37:49,,1.0,,,
000021.XSHE,2009-12-10,中信证券,,,1,1,2024-06-27 17:28:45,2010-01-08 15:38:57,,1.0,,,
000021.XSHE,2009-12-11,东莞证券,,,2,1,2024-06-27 17:29:19,2009-12-15 13:37:49,,2.0,,,
000021.XSHE,2009-12-15,长江证券,,,1,1,2024-06-27 17:29:36,2009-12-15 17:37:56,,1.0,,,
000021.XSHE,2009-12-16,天相投顾,,,2,1,2024-06-27 17:26:23,2009-12-21 10:07:57,,2.0,,,
000021.XSHE,2009-12-18,华泰证券,,,2,1,2024-06-27 17:26:44,2009-12-21 17:07:55,,2.0,,,
000021.XSHE,2009-12-24,华泰证券,,,2,1,2024-06-27 17:27:39,2010-01-28 16:38:34,,2.0,,,
000021.XSHE,2009-12-30,爱建证券,,,2,1,2024-06-27 17:28:40,2010-01-04 14:38:07,,2.0,,,
000021.XSHE,2010-01-02,东兴证券,,,2,1,2024-06-27 17:27:34,2010-01-05 14:08:07,,2.0,,,
000021.XSHE,2010-01-13,中信证券,,,1,1,2024-06-27 17:26:00,2010-01-14 15:08:17,,1.0,,,
000021.XSHE,2010-01-14,东兴证券,,,2,1,2024-06-27 17:27:16,2010-01-16 11:37:50,,2.0,,,
000021.XSHE,2010-01-15,粤开证券,17.5000,M06,1,1,2024-06-27 06:17:23,2010-01-18 17:37:58,,1.0,17.5,,
000021.XSHE,2010-01-23,英大证券,,,2,1,2024-06-27 17:28:22,2010-01-29 09:37:55,,2.0,,,
000021.XSHE,2010-01-29,国元证券,,,2,1,2024-06-27 17:24:31,2010-02-01 15:07:54,,2.0,,,
000021.XSHE,2010-02-22,中信证券,,,1,1,2024-06-27 17:27:00,2010-02-24 15:37:55,,1.0,,,
000021.XSHE,2010-03-03,中信证券,,,1,1,2024-06-27 17:29:08,2010-03-04 16:10:47,,1.0,,,
000021.XSHE,2010-03-09,中信证券,,,1,1,2024-06-27 17:26:58,2010-03-10 16:38:59,,1.0,,,
000021.XSHE,2010-03-22,中信证券,,,1,1,2024-06-27 17:26:29,2010-03-23 14:38:07,,1.0,,,
000021.XSHE,2010-04-08,光大证券,22.0000,M06,1,1,2024-06-27 06:17:12,2010-04-12 14:08:21,,1.0,22.0,,
000021.XSHE,2010-04-08,中信证券,,,1,1,2024-06-27 17:26:28,2010-04-08 16:08:10,,1.0,,,
000021.XSHE,2010-04-14,中信证券,,,1,1,2024-06-27 17:24:48,2010-04-15 10:09:19,,1.0,,,
000021.XSHE,2010-04-22,东方证券,17.6000,M06,2,1,2024-06-27 06:17:41,2010-04-23 16:41:42,,2.0,17.6,,
000021.XSHE,2010-04-26,天相投顾,,,2,1,2024-06-27 17:25:50,2010-04-28 14:39:28,,2.0,,,
000021.XSHE,2010-04-26,长江证券,,,1,1,2024-06-27 17:29:42,2010-04-27 09:08:43,,1.0,,,
