order_book_id,product_name,symbol,contract_multiplier,listed_date,maturity_date,de_listed_date,strike_price,option_type,exercise_type,round_lot,type,underlying_order_book_id,underlying_symbol,exchange,market_tplus,trading_hours,trading_code
10002129,510300P2001M03900,300ETF沽1月3900,10000,2019-12-23,2020-01-22,2020-01-22,3.9,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002129
10002130,510300P2001M04000,300ETF沽1月4000,10000,2019-12-23,2020-01-22,2020-01-22,4.0,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002130
10002131,510300P2001M04100,300ETF沽1月4100,10000,2019-12-23,2020-01-22,2020-01-22,4.1,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002131
10002132,510300P2001M04200,300ETF沽1月4200,10000,2019-12-23,2020-01-22,2020-01-22,4.2,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002132
10002133,510300P2001M04300,300ETF沽1月4300,10000,2019-12-23,2020-01-22,2020-01-22,4.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002133
10002134,510300P2001M04400,300ETF沽1月4400,10000,2019-12-23,2020-01-22,2020-01-22,4.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002134
10002135,510300C2002M03600,300ETF购2月3600,10000,2019-12-23,2020-02-26,2020-02-26,3.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002135
10002136,510300C2002M03700,300ETF购2月3700,10000,2019-12-23,2020-02-26,2020-02-26,3.7,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002136
10002137,510300C2002M03800,300ETF购2月3800,10000,2019-12-23,2020-02-26,2020-02-26,3.8,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002137
10002138,510300C2002M03900,300ETF购2月3900,10000,2019-12-23,2020-02-26,2020-02-26,3.9,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002138
10002139,510300C2002M04000,300ETF购2月4000,10000,2019-12-23,2020-02-26,2020-02-26,4.0,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002139
10002140,510300C2002M04100,300ETF购2月4100,10000,2019-12-23,2020-02-26,2020-02-26,4.1,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002140
10002141,510300C2002M04200,300ETF购2月4200,10000,2019-12-23,2020-02-26,2020-02-26,4.2,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002141
10002142,510300C2002M04300,300ETF购2月4300,10000,2019-12-23,2020-02-26,2020-02-26,4.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002142
10002143,510300C2002M04400,300ETF购2月4400,10000,2019-12-23,2020-02-26,2020-02-26,4.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002143
10002144,510300P2002M03600,300ETF沽2月3600,10000,2019-12-23,2020-02-26,2020-02-26,3.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002144
10002145,510300P2002M03700,300ETF沽2月3700,10000,2019-12-23,2020-02-26,2020-02-26,3.7,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002145
10002146,510300P2002M03800,300ETF沽2月3800,10000,2019-12-23,2020-02-26,2020-02-26,3.8,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002146
10002147,510300P2002M03900,300ETF沽2月3900,10000,2019-12-23,2020-02-26,2020-02-26,3.9,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002147
10002148,510300P2002M04000,300ETF沽2月4000,10000,2019-12-23,2020-02-26,2020-02-26,4.0,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002148
10002149,510300P2002M04100,300ETF沽2月4100,10000,2019-12-23,2020-02-26,2020-02-26,4.1,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002149
10002150,510300P2002M04200,300ETF沽2月4200,10000,2019-12-23,2020-02-26,2020-02-26,4.2,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002150
10002151,510300P2002M04300,300ETF沽2月4300,10000,2019-12-23,2020-02-26,2020-02-26,4.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002151
10002152,510300P2002M04400,300ETF沽2月4400,10000,2019-12-23,2020-02-26,2020-02-26,4.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002152
10002153,510300C2003M03600,300ETF购3月3600,10000,2019-12-23,2020-03-25,2020-03-25,3.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002153
10002154,510300C2003M03700,300ETF购3月3700,10000,2019-12-23,2020-03-25,2020-03-25,3.7,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002154
10002155,510300C2003M03800,300ETF购3月3800,10000,2019-12-23,2020-03-25,2020-03-25,3.8,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002155
10002156,510300C2003M03900,300ETF购3月3900,10000,2019-12-23,2020-03-25,2020-03-25,3.9,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002156
10002157,510300C2003M04000,300ETF购3月4000,10000,2019-12-23,2020-03-25,2020-03-25,4.0,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002157
10002158,510300C2003M04100,300ETF购3月4100,10000,2019-12-23,2020-03-25,2020-03-25,4.1,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002158
10002159,510300C2003M04200,300ETF购3月4200,10000,2019-12-23,2020-03-25,2020-03-25,4.2,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002159
10002160,510300C2003M04300,300ETF购3月4300,10000,2019-12-23,2020-03-25,2020-03-25,4.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002160
10002161,510300C2003M04400,300ETF购3月4400,10000,2019-12-23,2020-03-25,2020-03-25,4.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002161
10002162,510300P2003M03600,300ETF沽3月3600,10000,2019-12-23,2020-03-25,2020-03-25,3.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002162
10002163,510300P2003M03700,300ETF沽3月3700,10000,2019-12-23,2020-03-25,2020-03-25,3.7,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002163
10002164,510300P2003M03800,300ETF沽3月3800,10000,2019-12-23,2020-03-25,2020-03-25,3.8,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002164
10002165,510300P2003M03900,300ETF沽3月3900,10000,2019-12-23,2020-03-25,2020-03-25,3.9,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002165
10002166,510300P2003M04000,300ETF沽3月4000,10000,2019-12-23,2020-03-25,2020-03-25,4.0,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002166
10002167,510300P2003M04100,300ETF沽3月4100,10000,2019-12-23,2020-03-25,2020-03-25,4.1,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002167
10002168,510300P2003M04200,300ETF沽3月4200,10000,2019-12-23,2020-03-25,2020-03-25,4.2,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002168
10002169,510300P2003M04300,300ETF沽3月4300,10000,2019-12-23,2020-03-25,2020-03-25,4.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002169
10002170,510300P2003M04400,300ETF沽3月4400,10000,2019-12-23,2020-03-25,2020-03-25,4.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002170
10002171,510300C2006M03600,300ETF购6月3600,10000,2019-12-23,2020-06-24,2020-06-24,3.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002171
10002172,510300C2006M03700,300ETF购6月3700,10000,2019-12-23,2020-06-24,2020-06-24,3.7,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002172
10002173,510300C2006M03800,300ETF购6月3800,10000,2019-12-23,2020-06-24,2020-06-24,3.8,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002173
10002174,510300C2006M03900,300ETF购6月3900,10000,2019-12-23,2020-06-24,2020-06-24,3.9,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002174
10002175,510300C2006M04000,300ETF购6月4000,10000,2019-12-23,2020-06-24,2020-06-24,4.0,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002175
10002176,510300C2006M04100,300ETF购6月4100,10000,2019-12-23,2020-06-24,2020-06-24,4.1,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002176
10002177,510300C2006M04200,300ETF购6月4200,10000,2019-12-23,2020-06-24,2020-06-24,4.2,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002177
10002178,510300C2006M04300,300ETF购6月4300,10000,2019-12-23,2020-06-24,2020-06-24,4.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002178
10002179,510300C2006M04400,300ETF购6月4400,10000,2019-12-23,2020-06-24,2020-06-24,4.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002179
10002180,510300P2006M03600,300ETF沽6月3600,10000,2019-12-23,2020-06-24,2020-06-24,3.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002180
10002181,510300P2006M03700,300ETF沽6月3700,10000,2019-12-23,2020-06-24,2020-06-24,3.7,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002181
10002182,510300P2006M03800,300ETF沽6月3800,10000,2019-12-23,2020-06-24,2020-06-24,3.8,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002182
10002183,510300P2006M03900,300ETF沽6月3900,10000,2019-12-23,2020-06-24,2020-06-24,3.9,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002183
10002184,510300P2006M04000,300ETF沽6月4000,10000,2019-12-23,2020-06-24,2020-06-24,4.0,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002184
10002185,510300P2006M04100,300ETF沽6月4100,10000,2019-12-23,2020-06-24,2020-06-24,4.1,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002185
10002186,510300P2006M04200,300ETF沽6月4200,10000,2019-12-23,2020-06-24,2020-06-24,4.2,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002186
10002187,510300P2006M04300,300ETF沽6月4300,10000,2019-12-23,2020-06-24,2020-06-24,4.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002187
10002188,510300P2006M04400,300ETF沽6月4400,10000,2019-12-23,2020-06-24,2020-06-24,4.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002188
10002215,510300C2001M04500,300ETF购1月4500,10000,2019-12-31,2020-01-22,2020-01-22,4.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002215
10002216,510300P2001M04500,300ETF沽1月4500,10000,2019-12-31,2020-01-22,2020-01-22,4.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002216
10002217,510300C2002M04500,300ETF购2月4500,10000,2019-12-31,2020-02-26,2020-02-26,4.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002217
10002218,510300P2002M04500,300ETF沽2月4500,10000,2019-12-31,2020-02-26,2020-02-26,4.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002218
10002219,510300C2003M04500,300ETF购3月4500,10000,2019-12-31,2020-03-25,2020-03-25,4.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002219
10002220,510300P2003M04500,300ETF沽3月4500,10000,2019-12-31,2020-03-25,2020-03-25,4.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002220
10002221,510300C2006M04500,300ETF购6月4500,10000,2019-12-31,2020-06-24,2020-06-24,4.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002221
10002222,510300P2006M04500,300ETF沽6月4500,10000,2019-12-31,2020-06-24,2020-06-24,4.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002222
10002223,510300C2001M04600,300ETF购1月4600,10000,2020-01-08,2020-01-22,2020-01-22,4.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002223
10002224,510300P2001M04600,300ETF沽1月4600,10000,2020-01-08,2020-01-22,2020-01-22,4.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002224
10002225,510300C2002M04600,300ETF购2月4600,10000,2020-01-08,2020-02-26,2020-02-26,4.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002225
10002226,510300P2002M04600,300ETF沽2月4600,10000,2020-01-08,2020-02-26,2020-02-26,4.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002226
10002227,510300C2003M04600,300ETF购3月4600,10000,2020-01-08,2020-03-25,2020-03-25,4.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002227
10002228,510300P2003M04600,300ETF沽3月4600,10000,2020-01-08,2020-03-25,2020-03-25,4.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002228
10002229,510300C2006M04600,300ETF购6月4600,10000,2020-01-08,2020-06-24,2020-06-24,4.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002229
10002230,510300P2006M04600,300ETF沽6月4600,10000,2020-01-08,2020-06-24,2020-06-24,4.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002230
10002249,510300C2009M03700,300ETF购9月3700,10000,2020-01-23,2020-09-23,2020-09-23,3.7,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002249
10002250,510300C2009M03800,300ETF购9月3800,10000,2020-01-23,2020-09-23,2020-09-23,3.8,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002250
10002251,510300C2009M03900,300ETF购9月3900,10000,2020-01-23,2020-09-23,2020-09-23,3.9,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002251
10002252,510300C2009M04000,300ETF购9月4000,10000,2020-01-23,2020-09-23,2020-09-23,4.0,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002252
10002253,510300C2009M04100,300ETF购9月4100,10000,2020-01-23,2020-09-23,2020-09-23,4.1,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002253
10002254,510300C2009M04200,300ETF购9月4200,10000,2020-01-23,2020-09-23,2020-09-23,4.2,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002254
10002255,510300C2009M04300,300ETF购9月4300,10000,2020-01-23,2020-09-23,2020-09-23,4.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002255
10002256,510300C2009M04400,300ETF购9月4400,10000,2020-01-23,2020-09-23,2020-09-23,4.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002256
10002257,510300C2009M04500,300ETF购9月4500,10000,2020-01-23,2020-09-23,2020-09-23,4.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002257
10002258,510300P2009M03700,300ETF沽9月3700,10000,2020-01-23,2020-09-23,2020-09-23,3.7,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002258
10002259,510300P2009M03800,300ETF沽9月3800,10000,2020-01-23,2020-09-23,2020-09-23,3.8,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002259
10002260,510300P2009M03900,300ETF沽9月3900,10000,2020-01-23,2020-09-23,2020-09-23,3.9,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002260
10002261,510300P2009M04000,300ETF沽9月4000,10000,2020-01-23,2020-09-23,2020-09-23,4.0,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002261
10002262,510300P2009M04100,300ETF沽9月4100,10000,2020-01-23,2020-09-23,2020-09-23,4.1,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002262
10002263,510300P2009M04200,300ETF沽9月4200,10000,2020-01-23,2020-09-23,2020-09-23,4.2,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002263
10002264,510300P2009M04300,300ETF沽9月4300,10000,2020-01-23,2020-09-23,2020-09-23,4.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002264
10002265,510300P2009M04400,300ETF沽9月4400,10000,2020-01-23,2020-09-23,2020-09-23,4.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002265
10002266,510300P2009M04500,300ETF沽9月4500,10000,2020-01-23,2020-09-23,2020-09-23,4.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002266
10002271,510300C2009M03600,300ETF购9月3600,10000,2020-02-03,2020-09-23,2020-09-23,3.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002271
10002272,510300P2009M03600,300ETF沽9月3600,10000,2020-02-03,2020-09-23,2020-09-23,3.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002272
10002309,510300C2002M03300,300ETF购2月3300,10000,2020-02-04,2020-02-26,2020-02-26,3.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002309
10002310,510300C2002M03400,300ETF购2月3400,10000,2020-02-04,2020-02-26,2020-02-26,3.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002310
10002311,510300C2002M03500,300ETF购2月3500,10000,2020-02-04,2020-02-26,2020-02-26,3.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002311
10002312,510300P2002M03300,300ETF沽2月3300,10000,2020-02-04,2020-02-26,2020-02-26,3.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002312
10002313,510300P2002M03400,300ETF沽2月3400,10000,2020-02-04,2020-02-26,2020-02-26,3.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002313
10002314,510300P2002M03500,300ETF沽2月3500,10000,2020-02-04,2020-02-26,2020-02-26,3.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002314
10002315,510300C2003M03300,300ETF购3月3300,10000,2020-02-04,2020-03-25,2020-03-25,3.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002315
10002316,510300C2003M03400,300ETF购3月3400,10000,2020-02-04,2020-03-25,2020-03-25,3.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002316
10002317,510300C2003M03500,300ETF购3月3500,10000,2020-02-04,2020-03-25,2020-03-25,3.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002317
10002318,510300P2003M03300,300ETF沽3月3300,10000,2020-02-04,2020-03-25,2020-03-25,3.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002318
10002319,510300P2003M03400,300ETF沽3月3400,10000,2020-02-04,2020-03-25,2020-03-25,3.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002319
10002320,510300P2003M03500,300ETF沽3月3500,10000,2020-02-04,2020-03-25,2020-03-25,3.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002320
10002321,510300C2006M03300,300ETF购6月3300,10000,2020-02-04,2020-06-24,2020-06-24,3.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002321
10002322,510300C2006M03400,300ETF购6月3400,10000,2020-02-04,2020-06-24,2020-06-24,3.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002322
10002323,510300C2006M03500,300ETF购6月3500,10000,2020-02-04,2020-06-24,2020-06-24,3.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002323
10002324,510300P2006M03300,300ETF沽6月3300,10000,2020-02-04,2020-06-24,2020-06-24,3.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002324
10002325,510300P2006M03400,300ETF沽6月3400,10000,2020-02-04,2020-06-24,2020-06-24,3.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002325
10002326,510300P2006M03500,300ETF沽6月3500,10000,2020-02-04,2020-06-24,2020-06-24,3.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002326
10002327,510300C2009M03300,300ETF购9月3300,10000,2020-02-04,2020-09-23,2020-09-23,3.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002327
10002328,510300C2009M03400,300ETF购9月3400,10000,2020-02-04,2020-09-23,2020-09-23,3.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002328
10002329,510300C2009M03500,300ETF购9月3500,10000,2020-02-04,2020-09-23,2020-09-23,3.5,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002329
10002330,510300P2009M03300,300ETF沽9月3300,10000,2020-02-04,2020-09-23,2020-09-23,3.3,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002330
10002331,510300P2009M03400,300ETF沽9月3400,10000,2020-02-04,2020-09-23,2020-09-23,3.4,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002331
10002332,510300P2009M03500,300ETF沽9月3500,10000,2020-02-04,2020-09-23,2020-09-23,3.5,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002332
