date,order_book_id,size,non_linear_size,momentum,liquidity,book_to_price,leverage,growth,earnings_yield,beta,residual_volatility,comovement,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2018-06-21,002465.XSHE,-0.4852639514082804,0.7120663022448945,-0.36707776071483494,1.203763012191808,-0.608303746445012,-1.1765870985511107,-0.4717889723412221,-1.5111580392437238,0.6994955253490645,0.7445624474073439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-22,002465.XSHE,-0.4946311355891513,0.7207393724717809,-0.27508080596145024,1.2174686833226123,-0.5930776877125538,-1.1746494696029453,-0.47184587134819395,-1.504277281818149,0.6459786030400202,0.7339016206695492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-25,002465.XSHE,-0.5031670689709523,0.7291338782158214,-0.34763996777046163,1.223129939300701,-0.5751789405256458,-1.167482665182556,-0.47145933890383046,-1.4837572225529838,0.67008458424107,0.6742401985802262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-26,002465.XSHE,-0.4861212635813208,0.7176569677432132,-0.43118555464425234,1.2251257585313535,-0.5876190115087466,-1.1631310413973879,-0.45583166506560896,-1.47585367615221,0.6595080939907995,0.6123518002495641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-27,002465.XSHE,-0.4860005198063118,0.7166238691378007,-0.5428195673349255,1.2306669702645543,-0.5889193565179517,-1.1631385739120617,-0.45235543594111327,-1.477970516041234,0.6603653194956138,0.5680247144268877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-28,002465.XSHE,-0.48446102165614013,0.7177360858493469,-0.4342062040132849,1.2344514770018573,-0.5929278440140975,-1.1648292835781093,-0.4464983757172786,-1.473553160017202,0.6562743270548341,0.5355029836579572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-29,002465.XSHE,-0.48306411147250045,0.7160350691205787,-0.504322739256987,1.2280961739529666,-0.5881876090620529,-1.1575624303648133,-0.425523701811148,-1.4607831530069861,0.6016935060263293,0.5004131465445358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-02,002465.XSHE,-0.41568071643849647,0.6618259315815831,-0.46396606896042186,1.253268559633902,-0.6636489728865018,-1.1599271469011982,-0.3723000874617092,-1.504566305683096,0.2331644252140083,0.8157044883342232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-03,002465.XSHE,-0.3912004997396405,0.6418573074450997,-0.449776028792353,1.264949953022171,-0.6905700991920934,-1.1620546375099028,-0.37395158250421273,-1.5261498111210432,0.2634980071813552,0.7397968060493141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-04,002465.XSHE,-0.3522891728054289,0.608162545541249,-0.4427009060988449,1.3109309453554123,-0.744249065744315,-1.1659499669582691,-0.37299860177840816,-1.5719507464507452,0.10018059725688748,0.841602270786872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-05,002465.XSHE,-0.349744321719084,0.6079864868599919,-0.5382097539169174,1.325762507190195,-0.7461689127741837,-1.1674900270834727,-0.3739676559883926,-1.5737591307082894,0.10791045615901249,0.7875711762703542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
