order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,half_year_recommendation,one_year_target_price,one_year_recommendation
000598.XSHE,2009-06-08,国泰海通证券,12.6000,M06,1,1,2024-06-26 05:24:41,2009-06-08 17:49:16,12.6,1.0,,,
000598.XSHE,2009-06-22,中信证券,12.4500,M06,2,1,2024-06-26 05:24:41,2009-06-23 17:04:51,12.45,2.0,,,
000598.XSHE,2009-07-06,财信证券,11.5500,M06,2,1,2024-06-26 05:24:38,2009-07-07 14:50:51,11.55,2.0,,,
000598.XSHE,2009-07-09,国泰海通证券,14.0000,M06,1,1,2024-06-26 05:24:09,2009-07-10 15:34:30,14.0,1.0,,,
000598.XSHE,2009-07-09,申万宏源,13.0000,M06,2,1,2024-06-26 05:24:36,2009-07-09 14:20:56,13.0,2.0,,,
000598.XSHE,2009-07-31,第一创业证券,,,3,1,2024-06-26 17:28:19,2009-08-05 14:49:47,,3.0,,,
000598.XSHE,2009-08-04,申万宏源,13.0000,M06,2,1,2024-06-26 05:24:10,2009-08-04 17:06:53,13.0,2.0,,,
000598.XSHE,2009-08-20,申万宏源,13.0000,M06,2,1,2024-06-26 05:24:26,2009-08-20 16:05:08,13.0,2.0,,,
000598.XSHE,2009-10-31,第一创业证券,,,5,1,2024-06-26 17:27:23,2009-11-05 19:11:38,,5.0,,,
000598.XSHE,2009-11-05,中信证券,,,2,1,2024-06-26 17:25:38,2009-11-06 11:14:51,,2.0,,,
000598.XSHE,2009-11-24,国信证券,15.0000,M06,1,1,2024-06-26 05:23:56,2009-11-24 18:37:41,15.0,1.0,,,
000598.XSHE,2009-11-25,银河证券,15.9000,M06,1,1,2024-06-26 05:24:12,2009-11-26 17:07:47,15.9,1.0,,,
000598.XSHE,2009-11-27,中信证券,,,2,1,2024-06-26 17:26:44,2009-11-30 09:07:45,,2.0,,,
000598.XSHE,2009-12-01,天相投顾,,,3,1,2024-06-26 17:29:22,2009-12-02 15:07:57,,3.0,,,
000598.XSHE,2009-12-02,国信证券,,,1,1,2024-06-26 17:28:53,2009-12-02 17:38:08,,1.0,,,
000598.XSHE,2009-12-31,银河证券,15.0500,M06,1,1,2024-06-26 05:24:24,2010-01-12 16:37:48,15.05,1.0,,,
000598.XSHE,2009-12-31,第一创业证券,,,5,1,2024-06-26 17:27:45,2010-01-04 15:38:19,,5.0,,,
000598.XSHE,2010-01-05,国信证券,,,1,1,2024-06-26 17:27:54,2010-01-06 14:08:11,,1.0,,,
000598.XSHE,2010-01-15,申万宏源,,,2,1,2024-06-26 17:26:32,2010-01-15 17:37:51,,2.0,,,
000598.XSHE,2010-02-28,第一创业证券,,,2,1,2024-06-26 17:29:21,2010-03-08 09:08:18,,2.0,,,
000598.XSHE,2010-03-02,申万宏源,15.0000,M06,2,1,2024-06-26 05:24:30,2010-03-03 09:08:11,15.0,2.0,,,
000598.XSHE,2010-03-03,银河证券,15.0500,M06,1,1,2024-06-26 05:24:07,2010-03-04 16:10:47,15.05,1.0,,,
000598.XSHE,2010-03-09,银河证券,,,1,1,2024-06-26 17:27:38,2010-03-10 14:38:22,,1.0,,,
000598.XSHE,2010-03-09,国信证券,,,1,1,2024-06-26 17:29:06,2010-03-09 17:38:06,,1.0,,,
000598.XSHE,2010-03-18,申万宏源,15.0000,M06,2,1,2024-06-26 05:24:24,2010-03-18 16:08:22,15.0,2.0,,,
000598.XSHE,2010-03-29,长城证券,,,1,1,2024-06-26 17:24:56,2010-03-31 09:39:35,,1.0,,,
000598.XSHE,2010-03-30,招商证券,,,2,1,2024-06-26 17:28:42,2010-04-01 09:39:18,,2.0,,,
000598.XSHE,2010-04-08,银河证券,,,1,1,2024-06-26 17:25:39,2010-04-08 16:08:10,,1.0,,,
000598.XSHE,2010-04-08,申万宏源,,,2,1,2024-06-26 17:26:31,2010-04-08 16:08:10,,2.0,,,
000598.XSHE,2010-04-23,申万宏源,,,2,1,2024-06-26 17:28:57,2010-04-23 16:41:42,,2.0,,,
000598.XSHE,2010-04-23,银河证券,,,1,1,2024-06-26 17:29:15,2010-04-24 12:38:13,,1.0,,,
000598.XSHE,2010-04-27,银河证券,,,1,1,2024-06-26 17:26:05,2010-04-28 14:09:41,,1.0,,,
000598.XSHE,2010-04-27,申万宏源,,,2,1,2024-06-26 17:27:12,2010-04-28 19:39:40,,2.0,,,
000598.XSHE,2010-04-27,国信证券,,,1,1,2024-06-26 17:28:29,2010-04-28 13:41:28,,1.0,,,
000598.XSHE,2010-06-01,银河证券,,,1,1,2024-06-26 17:25:39,2010-06-03 13:59:24,,1.0,,,
000598.XSHE,2010-06-04,银河证券,24.8000,M06,1,1,2024-06-26 05:24:15,2010-06-07 14:25:53,24.8,1.0,,,
000598.XSHE,2010-06-10,国信证券,,,1,1,2024-06-26 17:24:36,2010-06-11 14:00:06,,1.0,,,
000598.XSHE,2010-06-18,东吴证券,,,2,1,2024-06-26 17:26:18,2010-06-28 16:14:30,,2.0,,,
000598.XSHE,2010-06-29,银河证券,24.3000,M06,1,1,2024-06-26 05:24:23,2010-07-01 11:18:11,24.3,1.0,,,
000598.XSHE,2010-07-02,银河证券,,,1,1,2024-06-26 17:27:10,2010-07-03 11:44:04,,1.0,,,
000598.XSHE,2010-07-02,申万宏源,,,2,1,2024-06-26 17:28:31,2010-07-05 16:43:35,,2.0,,,
000598.XSHE,2010-07-21,中信建投,,,2,1,2024-06-26 17:24:31,2010-07-22 14:27:10,,2.0,,,
000598.XSHE,2010-08-11,银河证券,,,1,1,2024-06-26 17:24:36,2010-08-12 19:07:17,,1.0,,,
000598.XSHE,2010-08-11,国信证券,,,1,1,2024-06-26 17:25:56,2010-08-12 18:05:29,,1.0,,,
000598.XSHE,2010-08-11,长江证券,,,2,1,2024-06-26 17:29:13,2010-08-12 19:07:17,,2.0,,,
000598.XSHE,2010-09-01,银河证券,,,1,1,2024-06-26 17:28:37,2010-09-02 17:37:52,,1.0,,,
000598.XSHE,2010-09-29,长江证券,,,2,1,2024-06-26 17:25:29,2010-09-29 14:22:38,,2.0,,,
000598.XSHE,2010-09-29,招商证券,25.2000,M06,1,1,2024-06-26 05:24:12,2010-09-30 09:59:08,25.2,1.0,,,
000598.XSHE,2010-09-29,银河证券,30.0000,M06,1,1,2024-06-26 05:24:13,2010-09-29 14:22:38,30.0,1.0,,,
000598.XSHE,2010-09-30,金元证券,,,1,1,2024-06-26 17:25:54,2010-10-12 15:29:04,,1.0,,,
000598.XSHE,2010-09-30,银河证券,,,1,1,2024-06-26 17:26:17,2010-10-11 10:31:12,,1.0,,,
000598.XSHE,2010-10-08,招商证券,,,1,1,2024-06-26 17:28:10,2010-10-11 11:37:13,,1.0,,,
000598.XSHE,2010-10-13,银河证券,30.0000,M06,1,1,2024-06-26 05:24:06,2010-12-01 17:41:11,30.0,1.0,,,
000598.XSHE,2010-10-13,广发证券,26.0000,M06,2,1,2024-06-26 05:24:07,2010-10-14 13:49:58,26.0,2.0,,,
000598.XSHE,2010-10-13,国信证券,26.0000,M06,1,1,2024-06-26 05:24:15,2010-10-13 16:35:02,26.0,1.0,,,
000598.XSHE,2010-10-13,招商证券,26.7000,M06,1,1,2024-06-26 05:24:28,2010-10-14 09:59:37,26.7,1.0,,,
000598.XSHE,2010-10-20,银河证券,30.0000,M06,1,1,2024-06-26 05:24:06,2010-10-20 17:41:37,30.0,1.0,,,
000598.XSHE,2010-10-20,国信证券,,,1,1,2024-06-26 17:26:45,2010-10-21 09:26:17,,1.0,,,
000598.XSHE,2010-10-20,长江证券,,,2,1,2024-06-26 17:28:05,2010-10-20 14:22:47,,2.0,,,
000598.XSHE,2010-10-20,招商证券,26.7000,M06,1,1,2024-06-26 05:24:31,2010-10-20 17:08:47,26.7,1.0,,,
000598.XSHE,2010-10-21,国元证券,,,2,1,2024-06-26 17:24:23,2010-10-21 16:35:56,,2.0,,,
000598.XSHE,2010-11-01,银河证券,,,1,1,2024-06-26 17:24:33,2010-11-03 16:15:43,,1.0,,,
000598.XSHE,2010-11-11,长江证券,,,2,1,2024-06-26 17:25:36,2010-11-12 13:50:10,,2.0,,,
000598.XSHE,2010-11-22,申万宏源,,,2,1,2024-06-26 17:25:50,2010-11-23 08:52:14,,2.0,,,
000598.XSHE,2010-11-22,东吴证券,,,2,1,2024-06-26 17:26:05,2010-12-07 13:48:55,,2.0,,,
000598.XSHE,2010-11-29,广发证券,27.0000,M06,2,1,2024-06-26 05:24:03,2010-11-30 12:43:03,27.0,2.0,,,
000598.XSHE,2010-11-30,银河证券,,,1,1,2024-06-26 17:25:46,2010-12-07 14:22:45,,1.0,,,
000598.XSHE,2010-12-01,银河证券,,,1,1,2024-06-26 17:29:09,2010-12-03 11:04:49,,1.0,,,
000598.XSHE,2010-12-15,中信证券,30.0000,M06,1,1,2024-06-26 05:24:25,2010-12-16 16:02:23,30.0,1.0,,,
000598.XSHE,2010-12-16,国信证券,,,1,1,2024-06-26 17:29:11,2010-12-16 17:41:23,,1.0,,,
000598.XSHE,2010-12-30,中信证券,,,1,1,2024-06-26 17:28:31,2010-12-30 17:40:02,,1.0,,,
000598.XSHE,2011-01-04,中信证券,,,1,1,2024-06-26 17:25:43,2011-01-04 17:40:01,,1.0,,,
000598.XSHE,2011-01-05,银河证券,,,1,1,2024-06-26 17:26:52,2011-01-06 17:07:12,,1.0,,,
000598.XSHE,2011-01-10,中信证券,,,1,1,2024-06-26 17:26:14,2011-01-11 18:48:37,,1.0,,,
000598.XSHE,2011-01-20,中信证券,30.0000,M06,1,1,2024-06-26 05:24:04,2011-01-20 17:08:06,30.0,1.0,,,
000598.XSHE,2011-01-24,中信证券,,,1,1,2024-06-26 17:28:04,2011-01-24 17:07:49,,1.0,,,
000598.XSHE,2011-01-31,中信证券,,,1,1,2024-06-26 17:28:41,2011-01-31 22:05:32,,1.0,,,
000598.XSHE,2011-02-01,中信证券,,,1,1,2024-06-26 17:26:53,2011-02-09 17:40:09,,1.0,,,
000598.XSHE,2011-02-14,中信证券,,,1,1,2024-06-26 17:27:47,2011-02-14 18:46:17,,1.0,,,
000598.XSHE,2011-02-16,申万宏源,,,2,1,2024-06-26 17:25:16,2011-02-16 16:02:39,,2.0,,,
000598.XSHE,2011-02-21,中信证券,,,1,1,2024-06-26 17:29:21,2011-02-21 19:19:10,,1.0,,,
000598.XSHE,2011-02-22,中信证券,,,1,1,2024-06-26 17:26:06,2011-02-22 18:48:48,,1.0,,,
000598.XSHE,2011-02-28,东吴证券,,,2,1,2024-06-26 17:24:36,2011-03-03 18:49:16,,2.0,,,
000598.XSHE,2011-02-28,中信证券,30.0000,M06,1,1,2024-06-26 05:24:17,2011-02-28 20:26:10,30.0,1.0,,,
000598.XSHE,2011-03-07,中信证券,,,1,1,2024-06-26 17:27:07,2011-03-07 18:51:02,,1.0,,,
000598.XSHE,2011-03-09,中信证券,26.0000,M06,1,1,2024-06-26 05:24:13,2011-03-09 18:48:14,26.0,1.0,,,
000598.XSHE,2011-03-14,中信证券,,,1,1,2024-06-26 17:25:05,2011-03-14 21:31:47,,1.0,,,
000598.XSHE,2011-03-14,国信证券,,,1,1,2024-06-26 17:28:13,2011-03-14 20:58:57,,1.0,,,
000598.XSHE,2011-03-17,中信证券,,,1,1,2024-06-26 17:25:30,2011-03-18 21:19:35,,1.0,,,
000598.XSHE,2011-03-21,中信证券,,,1,1,2024-06-26 17:24:21,2011-03-22 16:04:53,,1.0,,,
000598.XSHE,2011-03-28,中信证券,,,1,1,2024-06-26 17:26:31,2011-03-28 22:24:38,,1.0,,,
000598.XSHE,2011-04-06,中信证券,,,1,1,2024-06-26 17:28:26,2011-04-08 10:32:11,,1.0,,,
000598.XSHE,2011-04-11,中信证券,,,1,1,2024-06-26 17:24:32,2011-04-11 19:06:51,,1.0,,,
000598.XSHE,2011-04-18,中信证券,,,1,1,2024-06-26 17:26:16,2011-04-19 19:04:45,,1.0,,,
000598.XSHE,2011-04-25,中信证券,,,1,1,2024-06-26 17:24:29,2011-04-25 19:07:08,,1.0,,,
000598.XSHE,2011-04-29,长江证券,,,2,1,2024-06-26 17:24:32,2011-04-29 13:18:39,,2.0,,,
000598.XSHE,2011-04-29,中信证券,26.0000,M06,1,1,2024-06-26 05:24:13,2011-04-29 21:18:55,26.0,1.0,,,
000598.XSHE,2011-04-29,银河证券,,,1,1,2024-06-26 17:29:13,2011-04-29 16:21:34,,1.0,,,
000598.XSHE,2011-05-03,长江证券,,,2,1,2024-06-26 17:28:54,2011-05-03 16:14:28,,2.0,,,
000598.XSHE,2011-05-03,中信证券,26.0000,M06,1,1,2024-06-26 05:24:40,2011-05-04 19:19:41,26.0,1.0,,,
000598.XSHE,2011-05-05,中信证券,26.0000,M06,1,1,2024-06-26 05:24:27,2011-05-05 19:09:34,26.0,1.0,,,
000598.XSHE,2011-05-09,中信证券,26.0000,M06,1,1,2024-06-26 05:24:01,2011-05-09 19:04:45,26.0,1.0,,,
000598.XSHE,2011-05-16,中信证券,,,1,1,2024-06-26 17:28:51,2011-05-17 08:52:32,,1.0,,,
000598.XSHE,2011-05-23,中信证券,,,1,1,2024-06-26 17:25:59,2011-05-23 19:06:29,,1.0,,,
000598.XSHE,2011-05-30,中信证券,,,1,1,2024-06-26 17:28:30,2011-05-31 11:38:57,,1.0,,,
000598.XSHE,2011-06-01,平安证券,,,2,1,2024-06-26 17:25:26,2011-06-01 19:05:36,,2.0,,,
000598.XSHE,2011-06-07,中信证券,,,1,1,2024-06-26 17:27:59,2011-06-07 19:06:19,,1.0,,,
000598.XSHE,2011-06-07,平安证券,,,2,1,2024-06-26 17:28:42,2011-06-08 11:39:36,,2.0,,,
000598.XSHE,2011-06-09,国信证券,,,1,1,2024-06-26 17:27:13,2011-06-13 10:32:10,,1.0,,,
000598.XSHE,2011-06-10,平安证券,,,2,1,2024-06-26 17:27:46,2011-06-16 11:05:17,,2.0,,,
000598.XSHE,2011-06-13,中信证券,,,1,1,2024-06-26 17:29:08,2011-06-13 14:58:12,,1.0,,,
000598.XSHE,2011-06-17,长江证券,,,2,1,2024-06-26 17:26:30,2011-06-17 11:06:16,,2.0,,,
000598.XSHE,2011-06-17,国信证券,,,1,1,2024-06-26 17:28:43,2011-06-17 19:03:50,,1.0,,,
000598.XSHE,2011-06-17,中信证券,22.0000,M06,1,1,2024-06-26 05:24:37,2011-06-17 19:03:50,22.0,1.0,,,
000598.XSHE,2011-06-20,平安证券,,,2,1,2024-06-26 17:26:47,2011-06-21 11:42:29,,2.0,,,
000598.XSHE,2011-06-20,华创证券,,,2,1,2024-06-26 17:27:38,2011-07-01 16:08:27,,2.0,,,
000598.XSHE,2011-06-20,中信证券,22.0000,M06,1,1,2024-06-26 05:24:28,2011-06-20 19:04:51,22.0,1.0,,,
000598.XSHE,2011-06-27,银河证券,,,1,1,2024-06-26 17:26:30,2011-06-29 11:40:21,,1.0,,,
000598.XSHE,2011-06-28,银河证券,,,1,1,2024-06-26 17:29:01,2011-06-29 16:15:48,,1.0,,,
000598.XSHE,2011-06-29,中信证券,,,1,1,2024-06-26 17:27:33,2011-06-29 19:05:57,,1.0,,,
000598.XSHE,2011-07-04,中信证券,,,1,1,2024-06-26 17:24:14,2011-07-05 11:38:02,,1.0,,,
000598.XSHE,2011-07-05,申万宏源,,,2,1,2024-06-26 17:26:32,2011-06-21 19:06:10,,2.0,,,
000598.XSHE,2011-07-11,中信证券,,,1,1,2024-06-26 17:25:08,2011-07-12 19:08:23,,1.0,,,
000598.XSHE,2011-07-14,申万宏源,,,2,1,2024-06-26 17:24:55,2011-07-14 16:36:54,,2.0,,,
000598.XSHE,2011-07-18,中信证券,,,1,1,2024-06-26 17:25:46,2011-07-18 16:12:18,,1.0,,,
000598.XSHE,2011-07-20,招商证券,25.0000,M06,1,1,2024-06-26 05:24:08,2011-07-23 12:10:27,25.0,1.0,,,
000598.XSHE,2011-07-21,天相投顾,,,2,1,2024-06-26 17:24:25,2011-07-21 16:37:07,,2.0,,,
000598.XSHE,2011-07-21,银河证券,,,1,1,2024-06-26 17:25:12,2011-07-21 16:37:07,,1.0,,,
000598.XSHE,2011-07-21,长江证券,,,2,1,2024-06-26 17:26:08,2011-07-21 13:53:12,,2.0,,,
000598.XSHE,2011-07-21,海通证券,25.0000,M06,2,1,2024-06-26 05:24:28,2011-07-22 11:40:09,25.0,2.0,,,
000598.XSHE,2011-07-21,中信证券,25.0000,M06,1,1,2024-06-26 05:24:34,2011-07-21 16:37:07,25.0,1.0,,,
000598.XSHE,2011-07-25,中信证券,,,1,1,2024-06-26 17:25:21,2011-07-25 17:09:17,,1.0,,,
000598.XSHE,2011-07-25,爱建证券,26.7000,M06,2,1,2024-06-26 05:24:20,2011-07-25 17:09:17,26.7,2.0,,,
000598.XSHE,2011-08-01,中信证券,,,1,1,2024-06-26 17:27:16,2011-08-02 10:32:35,,1.0,,,
000598.XSHE,2011-08-08,中信证券,,,1,1,2024-06-26 17:28:10,2011-08-09 16:37:56,,1.0,,,
000598.XSHE,2011-08-15,中信证券,,,1,1,2024-06-26 17:28:02,2011-08-16 19:10:32,,1.0,,,
000598.XSHE,2011-08-22,中信证券,,,1,1,2024-06-26 17:28:36,2011-08-23 14:59:04,,1.0,,,
000598.XSHE,2011-08-29,中信证券,,,1,1,2024-06-26 17:27:56,2011-08-30 21:44:49,,1.0,,,
000598.XSHE,2011-09-05,中信证券,,,1,1,2024-06-26 17:28:03,2011-09-06 17:35:49,,1.0,,,
000598.XSHE,2011-09-07,长江证券,,,2,1,2024-06-26 17:26:28,2011-09-09 12:28:39,,2.0,,,
000598.XSHE,2011-09-08,中信证券,,,1,1,2024-06-26 17:26:40,2011-09-08 18:19:54,,1.0,,,
000598.XSHE,2011-09-13,中信证券,,,1,1,2024-06-26 17:24:43,2011-09-13 17:57:25,,1.0,,,
000598.XSHE,2011-09-15,中信证券,,,1,2,2024-06-26 17:24:35,2011-09-15 16:55:31,,,1.0,,
000598.XSHE,2011-09-19,中信证券,,,1,1,2024-06-26 17:28:39,2011-09-19 18:03:15,,1.0,,,
000598.XSHE,2011-09-20,申万宏源,,,2,1,2024-06-26 17:24:41,2011-09-20 15:31:17,,2.0,,,
000598.XSHE,2011-09-26,中信证券,,,1,1,2024-06-26 17:29:18,2011-09-26 18:01:46,,1.0,,,
000598.XSHE,2011-09-29,银河证券,,,1,1,2024-06-26 17:26:48,2011-10-10 13:01:33,,1.0,,,
000598.XSHE,2011-10-11,中信证券,11.0000,M06,1,1,2024-06-26 05:24:31,2011-10-12 11:59:12,11.0,1.0,,,
000598.XSHE,2011-10-13,申万宏源,,,2,1,2024-06-26 17:27:37,2011-10-13 15:09:49,,2.0,,,
000598.XSHE,2011-10-17,中信证券,11.0000,M06,1,1,2024-06-26 05:24:22,2011-10-17 18:03:24,11.0,1.0,,,
000598.XSHE,2011-10-21,中信证券,,,1,1,2024-06-26 17:25:34,2011-10-22 10:34:21,,1.0,,,
000598.XSHE,2011-10-25,长江证券,,,2,1,2024-06-26 17:24:20,2011-10-26 15:11:30,,2.0,,,
000598.XSHE,2011-10-25,国信证券,,,1,1,2024-06-26 17:26:02,2011-10-27 20:37:05,,1.0,,,
000598.XSHE,2011-10-25,中信证券,11.0000,M06,1,1,2024-06-26 05:24:14,2011-10-26 14:11:30,11.0,1.0,,,
000598.XSHE,2011-10-25,申万宏源,13.4000,M06,2,1,2024-06-26 05:24:28,2011-10-26 15:11:30,13.4,2.0,,,
000598.XSHE,2011-10-25,招商证券,10.0000,M06,1,1,2024-06-26 05:24:35,2011-10-26 14:11:30,10.0,1.0,,,
000598.XSHE,2011-10-25,天相投顾,,,2,1,2024-06-26 17:28:47,2011-11-07 16:35:36,,2.0,,,
000598.XSHE,2011-10-31,中信证券,11.0000,M06,1,1,2024-06-26 05:24:25,2011-11-08 14:50:24,11.0,1.0,,,
000598.XSHE,2011-11-02,中信证券,,,1,1,2024-06-26 17:25:33,2011-11-04 12:22:03,,1.0,,,
000598.XSHE,2011-11-04,中信证券,,,1,1,2024-06-26 17:24:55,2011-11-07 13:22:50,,1.0,,,
000598.XSHE,2011-11-06,长江证券,,,2,1,2024-06-26 17:27:41,2011-11-07 16:35:36,,2.0,,,
000598.XSHE,2011-11-07,平安证券,,,2,1,2024-06-26 17:25:13,2011-11-08 15:54:23,,2.0,,,
000598.XSHE,2011-11-07,中信证券,,,1,1,2024-06-26 17:25:27,2011-11-08 15:54:23,,1.0,,,
000598.XSHE,2011-11-10,中信证券,,,1,1,2024-06-26 17:24:35,2011-11-10 17:15:59,,1.0,,,
000598.XSHE,2011-11-11,山西证券,,,2,1,2024-06-26 17:26:39,2011-11-14 20:32:28,,2.0,,,
000598.XSHE,2011-11-14,平安证券,,,2,1,2024-06-26 17:26:47,2011-11-14 20:32:28,,2.0,,,
000598.XSHE,2011-11-20,平安证券,,,2,1,2024-06-26 17:28:12,2011-11-24 15:53:50,,2.0,,,
000598.XSHE,2011-11-21,中信证券,,,1,1,2024-06-26 17:24:47,2011-11-22 18:08:24,,1.0,,,
000598.XSHE,2011-11-24,中信证券,,,1,1,2024-06-26 17:27:43,2011-11-24 17:59:17,,1.0,,,
000598.XSHE,2011-11-28,中信证券,,,1,1,2024-06-26 17:25:41,2011-11-29 14:49:49,,1.0,,,
000598.XSHE,2011-12-05,申万宏源,,,2,1,2024-06-26 17:26:02,2011-11-24 15:53:50,,2.0,,,
000598.XSHE,2011-12-05,中信证券,,,1,1,2024-06-26 17:28:44,2011-12-06 11:40:15,,1.0,,,
000598.XSHE,2011-12-07,中信证券,11.0000,M06,1,1,2024-06-26 05:24:10,2011-12-09 15:11:33,11.0,1.0,,,
000598.XSHE,2011-12-07,长江证券,,,2,1,2024-06-26 17:29:03,2011-12-09 17:40:12,,2.0,,,
000598.XSHE,2011-12-12,中信证券,,,1,1,2024-06-26 17:24:48,2011-12-15 10:36:23,,1.0,,,
000598.XSHE,2011-12-15,国信证券,,,1,1,2024-06-26 17:27:13,2011-12-16 12:01:02,,1.0,,,
000598.XSHE,2011-12-19,中信证券,,,1,1,2024-06-26 17:27:44,2011-12-20 12:01:02,,1.0,,,
000598.XSHE,2011-12-20,天风证券,,,2,1,2024-06-26 17:27:00,2012-01-05 17:42:57,,2.0,,,
000598.XSHE,2011-12-21,中信证券,,,1,1,2024-06-26 17:27:56,2011-12-21 17:37:13,,1.0,,,
000598.XSHE,2011-12-26,中信证券,,,1,1,2024-06-26 17:28:03,2011-12-29 11:40:07,,1.0,,,
000598.XSHE,2011-12-30,中信证券,,,1,1,2024-06-26 17:28:21,2012-01-06 17:09:39,,1.0,,,
000598.XSHE,2012-01-04,中信证券,,,1,1,2024-06-26 17:24:39,2012-01-05 17:42:57,,1.0,,,
000598.XSHE,2012-01-04,天相投顾,,,2,1,2024-06-26 17:28:21,2012-01-05 17:42:57,,2.0,,,
000598.XSHE,2012-01-09,中信证券,,,1,1,2024-06-26 17:26:01,2012-01-09 18:20:40,,1.0,,,
000598.XSHE,2012-01-30,中信证券,,,1,1,2024-06-26 17:24:35,2012-01-30 20:36:54,,1.0,,,
000598.XSHE,2012-02-02,申万宏源,,,3,1,2024-06-26 17:27:08,2012-02-02 17:42:49,,3.0,,,
000598.XSHE,2012-02-03,天相投顾,,,2,1,2024-06-26 17:24:46,2012-02-03 18:26:45,,2.0,,,
000598.XSHE,2012-02-03,长江证券,,,2,1,2024-06-26 17:26:41,2012-02-08 17:41:14,,2.0,,,
000598.XSHE,2012-02-03,银河证券,,,1,1,2024-06-26 17:26:47,2012-02-06 16:09:57,,1.0,,,
000598.XSHE,2012-02-03,招商证券,10.0000,M06,1,1,2024-06-26 05:24:39,2012-02-03 18:26:45,10.0,1.0,,,
000598.XSHE,2012-02-03,申万宏源,,,2,1,2024-06-26 17:29:22,2012-02-04 10:36:01,,2.0,,,
000598.XSHE,2012-02-05,宏源证券,,,1,1,2024-06-26 17:27:44,2012-02-07 12:11:39,,1.0,,,
000598.XSHE,2012-02-06,天相投顾,,,2,1,2024-06-26 17:26:16,2012-02-08 13:26:27,,2.0,,,
000598.XSHE,2012-02-07,国信证券,,,1,1,2024-06-26 17:25:14,2012-02-07 16:57:12,,1.0,,,
000598.XSHE,2012-02-07,长江证券,,,2,1,2024-06-26 17:25:54,2012-02-09 20:36:49,,2.0,,,
000598.XSHE,2012-02-13,中信证券,,,1,1,2024-06-26 17:28:44,2012-02-14 12:33:12,,1.0,,,
000598.XSHE,2012-02-27,中信证券,,,1,1,2024-06-26 17:28:03,2012-02-28 21:01:40,,1.0,,,
000598.XSHE,2012-03-03,金元证券,,,1,1,2024-06-26 17:28:02,2012-03-07 16:35:57,,1.0,,,
